id	scope	verdict	maps_to	silo_action	probe_hits	precision	reason
TRANSFER-import-sql	shared	same definition	TRANSFER-import-sql				names/descriptions match (silo text is a shortened form where different)
TRANSFER-import-mongo	shared	same definition	TRANSFER-import-mongo				names/descriptions match (silo text is a shortened form where different)
TRANSFER-import-modes	shared	same definition	TRANSFER-import-modes				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-src	shared	same definition	TRANSFER-export-src				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-csv	shared	same definition	TRANSFER-export-csv				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-excel	shared	same definition	TRANSFER-export-excel				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-json	shared	same definition	TRANSFER-export-json				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-bson	shared	same definition	TRANSFER-export-bson	widened			pattern narrower than definition; new pattern sampled >= 6/8
TRANSFER-export-sql	shared	same definition	TRANSFER-export-sql				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-mongo	shared	same definition	TRANSFER-export-mongo				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-sql-stmts	shared	same definition	TRANSFER-export-sql-stmts	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
TRANSFER-incremental	shared	same definition	TRANSFER-incremental				names/descriptions match (silo text is a shortened form where different)
TRANSFER-masking-tool	shared	same definition	TRANSFER-masking-tool				names/descriptions match (silo text is a shortened form where different)
TRANSFER-masking-types	shared	same definition	TRANSFER-masking-types				names/descriptions match (silo text is a shortened form where different)
TRANSFER-masking-inline	shared	same definition	TRANSFER-masking-inline				names/descriptions match (silo text is a shortened form where different)
TRANSFER-task-save	shared	same definition	TRANSFER-task-save	widened			pattern narrower than definition; new pattern sampled >= 6/8
TRANSFER-field-mapping	shared	same definition	TRANSFER-field-mapping				names/descriptions match (silo text is a shortened form where different)
TRANSFER-transform-types	shared	same definition	TRANSFER-transform-types				names/descriptions match (silo text is a shortened form where different)
TRANSFER-transform-filter	shared	same definition	TRANSFER-transform-filter	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
TRANSFER-transform-js	shared	same definition	TRANSFER-transform-js	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
TRANSFER-transform-pipeline	shared	same definition	TRANSFER-transform-pipeline	widened			pattern narrower than definition; new pattern sampled >= 6/8
TRANSFER-gridfs-crud	shared	same definition	TRANSFER-gridfs-crud				names/descriptions match (silo text is a shortened form where different)
TRANSFER-collection-history	shared	same definition	TRANSFER-collection-history				names/descriptions match (silo text is a shortened form where different)
TRANSFER-test-data-gen	shared	same definition	TRANSFER-test-data-gen				names/descriptions match (silo text is a shortened form where different)
SHELL-engine	shared	same definition	SHELL-engine				names/descriptions match (silo text is a shortened form where different)
SHELL-autocomplete	shared	same definition	SHELL-autocomplete				names/descriptions match (silo text is a shortened form where different)
SHELL-validation	shared	same definition	SHELL-validation				names/descriptions match (silo text is a shortened form where different)
SHELL-minimap	shared	same definition	SHELL-minimap				names/descriptions match (silo text is a shortened form where different)
SHELL-run-all	shared	same definition	SHELL-run-all				names/descriptions match (silo text is a shortened form where different)
SHELL-run-select	shared	same definition	SHELL-run-select				names/descriptions match (silo text is a shortened form where different)
SHELL-run-cursor	shared	same definition	SHELL-run-cursor	widened			pattern narrower than definition; new pattern sampled >= 6/8
SHELL-result-tabs	shared	same definition	SHELL-result-tabs				names/descriptions match (silo text is a shortened form where different)
SHELL-result-views	shared	same definition	SHELL-result-views	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-save-load	shared	same definition	SHELL-save-load				names/descriptions match (silo text is a shortened form where different)
SHELL-history	shared	same definition	SHELL-history				names/descriptions match (silo text is a shortened form where different)
SHELL-sessions-multi	shared	same definition	SHELL-sessions-multi				names/descriptions match (silo text is a shortened form where different)
SHELL-sessions-vars	shared	same definition	SHELL-sessions-vars	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-reconnect	shared	same definition	SHELL-reconnect	widened			pattern narrower than definition; new pattern sampled >= 6/8
SHELL-background	shared	same definition	SHELL-background	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-integrations	shared	same definition	SHELL-integrations	widened			pattern narrower than definition; new pattern sampled >= 6/8
SHELL-modes	shared	same definition	SHELL-modes				names/descriptions match (silo text is a shortened form where different)
SHELL-destructive-guard	shared	same definition	SHELL-destructive-guard	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-result-tab-limit	shared	same definition	SHELL-result-tab-limit	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-bookmarks	shared	same definition	SHELL-bookmarks				names/descriptions match (silo text is a shortened form where different)
SHELL-oidc-auth	shared	same definition	SHELL-oidc-auth	widened			pattern narrower than definition; new pattern sampled >= 6/8
SHELL-storedjs-rename	shared	same definition	SHELL-storedjs-rename	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-debugger	shared	same definition	SHELL-debugger				names/descriptions match (silo text is a shortened form where different)
SHELL-npm-utils	shared	same definition	SHELL-npm-utils	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
AI-nl-query	shared	same definition	AI-nl-query	boundary-bug fixed; tightened			"~1/8 on-topic: bare ""AI Helper/assistant"" mentions"
AI-nl-pipeline	shared	same definition	AI-nl-pipeline	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-explanation	shared	same definition	AI-explanation				names/descriptions match (silo text is a shortened form where different)
AI-schema-aware	shared	same definition	AI-schema-aware	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-sample-context	shared	same definition	AI-sample-context	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-conversation	shared	same definition	AI-conversation	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-models	shared	same definition	AI-models	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-providers	shared	same definition	AI-providers				names/descriptions match (silo text is a shortened form where different)
AI-privacy	shared	same definition	AI-privacy	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-key-storage	shared	same definition	AI-key-storage				names/descriptions match (silo text is a shortened form where different)
AI-multi-config	shared	same definition	AI-multi-config				names/descriptions match (silo text is a shortened form where different)
AI-agentic-mode	shared	same definition	AI-agentic-mode	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-offline-mcp	shared	same definition	AI-offline-mcp				names/descriptions match (silo text is a shortened form where different)
AI-tab-context	shared	same definition	AI-tab-context	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-chart-render	shared	same definition	AI-chart-render	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-multi-conversation	shared	same definition	AI-multi-conversation	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-guardrail-layer	shared	same definition	AI-guardrail-layer	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-safety-guards	shared	same definition	AI-safety-guards				names/descriptions match (silo text is a shortened form where different)
AI-error-fix	shared	same definition	AI-error-fix	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-inline-completion	shared	same definition	AI-inline-completion	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-voice-query	shared	same definition	AI-voice-query	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-prompt-templates	shared	same definition	AI-prompt-templates	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SQL-expressions	shared	same definition	SQL-expressions				names/descriptions match (silo text is a shortened form where different)
SQL-join-mapping	shared	same definition	SQL-join-mapping	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SQL-migration	shared	same definition	SQL-migration	widened			"pattern narrower than definition; added ""SQL migration"" (the ""SQL to MongoDB"" alternative was dropped at acceptance: 5/8)"
SQL-reschema	shared	same definition	SQL-reschema				names/descriptions match (silo text is a shortened form where different)
SQL-code-gen	shared	same definition	SQL-code-gen	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SQL-query-manager	shared	same definition	SQL-query-manager				names/descriptions match (silo text is a shortened form where different)
SQL-export-field-map	shared	same definition	SQL-export-field-map	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SQL-export-relations	shared	same definition	SQL-export-relations	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SQL-export-targets	shared	same definition	SQL-export-targets				names/descriptions match (silo text is a shortened form where different)
SQL-federated-query	shared	same definition	SQL-federated-query	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
GOV-readonly-mode	shared	same definition	GOV-readonly-mode				names/descriptions match (silo text is a shortened form where different)
GOV-cred-protection	shared	same definition	GOV-cred-protection				names/descriptions match (silo text is a shortened form where different)
GOV-network-policy	shared	same definition	GOV-network-policy				names/descriptions match (silo text is a shortened form where different)
GOV-telemetry	shared	same definition	GOV-telemetry				names/descriptions match (silo text is a shortened form where different)
GOV-air-gapped	shared	same definition	GOV-air-gapped				names/descriptions match (silo text is a shortened form where different)
GOV-rbac-users	shared	same definition	GOV-rbac-users	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
GOV-rbac-roles	shared	same definition	GOV-rbac-roles	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
GOV-rbac-inheritance	shared	same definition	GOV-rbac-inheritance				names/descriptions match (silo text is a shortened form where different)
GOV-rbac-tree	shared	same definition	GOV-rbac-tree				names/descriptions match (silo text is a shortened form where different)
GOV-audit-log	shared	same definition	GOV-audit-log				names/descriptions match (silo text is a shortened form where different)
GOV-data-masking	shared	same definition	GOV-data-masking				names/descriptions match (silo text is a shortened form where different)
GOV-collection-compare	shared	same definition	GOV-collection-compare	widened			pattern narrower than definition; new pattern sampled >= 6/8
GOV-collection-sync	shared	same definition	GOV-collection-sync	widened			"pattern narrower than definition; added ""sync differences"" / ""compare and sync"" (first attempt 3/8 at acceptance, tightened)"
GOV-platform-lens	shared	same definition	GOV-platform-lens				names/descriptions match (silo text is a shortened form where different)
GOV-platform-access	shared	same definition	GOV-platform-access				names/descriptions match (silo text is a shortened form where different)
GOV-platform-cdc	shared	same definition	GOV-platform-cdc				names/descriptions match (silo text is a shortened form where different)
GOV-secrets-vault	shared	same definition	GOV-secrets-vault				names/descriptions match (silo text is a shortened form where different)
GOV-staged-commit	shared	same definition	GOV-staged-commit				names/descriptions match (silo text is a shortened form where different)
SCHED-types-time	shared	same definition	SCHED-types-time	widened			pattern narrower than definition; new pattern sampled >= 6/8
SCHED-cron	shared	same definition	SCHED-cron				names/descriptions match (silo text is a shortened form where different)
SCHED-timezone	shared	same definition	SCHED-timezone				names/descriptions match (silo text is a shortened form where different)
SCHED-task-types	shared	same definition	SCHED-task-types				names/descriptions match (silo text is a shortened form where different)
SCHED-exec-config	shared	same definition	SCHED-exec-config				names/descriptions match (silo text is a shortened form where different)
SCHED-progress	shared	same definition	SCHED-progress	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SCHED-status-states	shared	same definition	SCHED-status-states				names/descriptions match (silo text is a shortened form where different)
SCHED-notifications	shared	same definition	SCHED-notifications				names/descriptions match (silo text is a shortened form where different)
SCHED-cli-headless	shared	same definition	SCHED-cli-headless				names/descriptions match (silo text is a shortened form where different)
PROP-pii-discovery	shared	same definition	PROP-pii-discovery				names/descriptions match (silo text is a shortened form where different)
PROP-cli-automation	shared	same definition	PROP-cli-automation	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
PROP-webhook-notify	shared	same definition	PROP-webhook-notify				names/descriptions match (silo text is a shortened form where different)
PROP-idx-perf-advisor	shared	same definition	PROP-idx-perf-advisor	widened			pattern narrower than definition; new pattern sampled >= 6/8
PROP-qe-key-vault-ui	shared	same definition	PROP-qe-key-vault-ui	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
PROP-vector-search-tooling	shared	same definition	PROP-vector-search-tooling	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
PROP-git-integration	shared	same definition	PROP-git-integration	widened			pattern narrower than definition; new pattern sampled >= 6/8
PROP-schema-erd-cluster	shared	same definition	PROP-schema-erd-cluster	widened			pattern narrower than definition; new pattern sampled >= 6/8
PROP-ai-gateway-sso	shared	same definition	PROP-ai-gateway-sso	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
PROP-schema-drift	shared	same definition	PROP-schema-drift				names/descriptions match (silo text is a shortened form where different)
PROP-bi-dashboard	shared	same definition	PROP-bi-dashboard	widened			pattern narrower than definition; new pattern sampled >= 6/8
PROP-secrets-vault	shared	same definition	PROP-secrets-vault				names/descriptions match (silo text is a shortened form where different)
PROP-synthetic-test-data	shared	same definition	PROP-synthetic-test-data				names/descriptions match (silo text is a shortened form where different)
PROP-federated-query	shared	same definition	PROP-federated-query				names/descriptions match (silo text is a shortened form where different)
