id	name	in_silo	verdict	maps_to	silo_detects_via	silo_docs	silo_action	probe_hits	precision	reason
PROP-synthetic-test-data	Synthetic/constrained test-data generator	yes	same definition	PROP-synthetic-test-data	PROP-synthetic-test-data	53				names/descriptions match (silo text is a shortened form where different)
PROP-vector-search-tooling	Deeper Vector Search tooling	yes	same definition	PROP-vector-search-tooling	PROP-vector-search-tooling	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
PROP-webhook-notify	Webhook notifications (Slack/Teams/Jira/PagerDuty)	yes	same definition	PROP-webhook-notify	PROP-webhook-notify	8				names/descriptions match (silo text is a shortened form where different)
QUERY-ai-builder	AI query builder	yes	same definition	QUERY-ai-builder	QUERY-ai-builder	3	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
QUERY-batch-edit	Batch editing	yes	same definition	QUERY-batch-edit	QUERY-batch-edit	3				names/descriptions match (silo text is a shortened form where different)
QUERY-cancel	Cancel query	yes	same definition	QUERY-cancel	QUERY-cancel	5				names/descriptions match (silo text is a shortened form where different)
QUERY-charts-dashboards	Charts & dashboards	yes	same definition	QUERY-charts-dashboards	QUERY-charts-dashboards	3				names/descriptions match (silo text is a shortened form where different)
QUERY-collation	Collation	yes	same definition	QUERY-collation	QUERY-collation	240				names/descriptions match (silo text is a shortened form where different)
QUERY-copy-options	Copy options	yes	same definition	QUERY-copy-options	QUERY-copy-options	74				names/descriptions match (silo text is a shortened form where different)
QUERY-date-tags	Date tags	yes	same definition	QUERY-date-tags	QUERY-date-tags	24	boundary bug left in place			"Fixing \b next to ""("" / ""$"" revived alternatives such as find()/sort()/NOW()/$ that matched code samples (0/8 to 3/6 on-topic); previous behaviour kept, latent dead alternatives documented"
QUERY-doc-dialog	Document dialog	yes	same definition	QUERY-doc-dialog	QUERY-doc-dialog	9				names/descriptions match (silo text is a shortened form where different)
QUERY-export-lang	Export to language	yes	same definition	QUERY-export-lang	QUERY-export-lang	14				names/descriptions match (silo text is a shortened form where different)
QUERY-filter-bar	Filter bar	yes	same definition	QUERY-filter-bar	QUERY-filter-bar	238	boundary bug left in place			"Fixing \b next to ""("" / ""$"" revived alternatives such as find()/sort()/NOW()/$ that matched code samples (0/8 to 3/6 on-topic); previous behaviour kept, latent dead alternatives documented"
QUERY-fluent-api	Fluent chaining query API	yes	same definition	QUERY-fluent-api	QUERY-fluent-api	4				names/descriptions match (silo text is a shortened form where different)
QUERY-history	Query history	yes	same definition	QUERY-history	QUERY-history	231				names/descriptions match (silo text is a shortened form where different)
QUERY-inline-edit	Inline editing	yes	same definition	QUERY-inline-edit	QUERY-inline-edit	144				names/descriptions match (silo text is a shortened form where different)
QUERY-manager	Query manager	yes	same definition	QUERY-manager	QUERY-manager	215				names/descriptions match (silo text is a shortened form where different)
QUERY-max-time	Max time	yes	same definition	QUERY-max-time	QUERY-max-time	150				names/descriptions match (silo text is a shortened form where different)
QUERY-multi-update	Multi-document update	yes	same definition	QUERY-multi-update	QUERY-multi-update	71	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
QUERY-open-in	Open-in integration	yes	same definition	QUERY-open-in	QUERY-open-in	9				names/descriptions match (silo text is a shortened form where different)
QUERY-pagination	Result pagination	yes	same definition	QUERY-pagination	QUERY-pagination	178				names/descriptions match (silo text is a shortened form where different)
QUERY-perf-timer	Execution timer	yes	same definition	QUERY-perf-timer	QUERY-perf-timer	21				names/descriptions match (silo text is a shortened form where different)
QUERY-projection	Projection	yes	same definition	QUERY-projection	QUERY-projection	344				names/descriptions match (silo text is a shortened form where different)
QUERY-run-variants	Run variants	yes	same definition	QUERY-run-variants	QUERY-run-variants	38	boundary bug left in place			"Fixing \b next to ""("" / ""$"" revived alternatives such as find()/sort()/NOW()/$ that matched code samples (0/8 to 3/6 on-topic); previous behaviour kept, latent dead alternatives documented"
QUERY-saved	Saved queries	yes	same definition	QUERY-saved	QUERY-saved	49				names/descriptions match (silo text is a shortened form where different)
QUERY-skip-limit	Skip & limit	yes	same definition	QUERY-skip-limit	QUERY-skip-limit	193	boundary bug left in place			"Fixing \b next to ""("" / ""$"" revived alternatives such as find()/sort()/NOW()/$ that matched code samples (0/8 to 3/6 on-topic); previous behaviour kept, latent dead alternatives documented"
QUERY-sort	Sort	yes	same definition	QUERY-sort	QUERY-sort	273	boundary bug left in place			"Fixing \b next to ""("" / ""$"" revived alternatives such as find()/sort()/NOW()/$ that matched code samples (0/8 to 3/6 on-topic); previous behaviour kept, latent dead alternatives documented"
QUERY-undo-redo	Undo/redo	yes	same definition	QUERY-undo-redo	QUERY-undo-redo	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
QUERY-value-search	Cross-collection value search	yes	same definition	QUERY-value-search	QUERY-value-search	1				names/descriptions match (silo text is a shortened form where different)
QUERY-view-explain	Explain view	yes	same definition	QUERY-view-explain	QUERY-view-explain	72				names/descriptions match (silo text is a shortened form where different)
QUERY-view-gridfs	GridFS viewer	yes	same definition	QUERY-view-gridfs	QUERY-view-gridfs	14				names/descriptions match (silo text is a shortened form where different)
QUERY-view-json	JSON/BSON view	yes	same definition	QUERY-view-json	QUERY-view-json	715				names/descriptions match (silo text is a shortened form where different)
QUERY-view-split	Split panel views	yes	same definition	QUERY-view-split	QUERY-view-split	13				names/descriptions match (silo text is a shortened form where different)
QUERY-view-table	Table view	yes	same definition	QUERY-view-table	QUERY-view-table	377				names/descriptions match (silo text is a shortened form where different)
QUERY-view-tree	Tree view	yes	same definition	QUERY-view-tree	QUERY-view-tree	219				names/descriptions match (silo text is a shortened form where different)
QUERY-vqb-bidirectional	VQB bidirectional sync	yes	same definition	QUERY-vqb-bidirectional	QUERY-vqb-bidirectional	4				names/descriptions match (silo text is a shortened form where different)
QUERY-vqb-core	Visual Query Builder core	yes	same definition	QUERY-vqb-core	QUERY-vqb-core	302				names/descriptions match (silo text is a shortened form where different)
QUERY-vqb-plan	VQB plan requirement	yes	same definition	QUERY-vqb-plan	QUERY-vqb-plan	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
QUERY-vqb-proj-sort	VQB projection & sort	yes	same definition	QUERY-vqb-proj-sort	QUERY-vqb-proj-sort	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SCHED-actions	Task actions	yes	feed-upstream		SCHED-actions	18	added to silo	18	8	Task run/pause/clone/delete; no same-meaning silo ID (SCHED-status-states catches 17%); 9 distinct, 8/8
SCHED-batch	Batch size	no	child-of	SCHED-exec-config	SCHED-exec-config	141		77		One field of execution config; distinct source evidence; Batch size is one field of SCHED-exec-config; 100% covered
SCHED-cli-headless	Headless CLI automation	yes	same definition	SCHED-cli-headless	SCHED-cli-headless	4				names/descriptions match (silo text is a shortened form where different)
SCHED-compare-results	Compare results	no	child-of	GOV-collection-compare	GOV-collection-compare	146		58	3	Compare results view; scheduler-matrix detail; Cross-family duplicate; widen silo GOV-collection-compare instead (catches 3%)
SCHED-compare-schedule	Compare schedule save	no	child-of	SCHED-task-types	SCHED-task-types	31		14		Compare saved as a scheduled task (corrected: not GOV-collection-compare); Cross-family duplicate
SCHED-compare-setup	Compare setup	no	child-of	GOV-collection-compare	GOV-collection-compare	146		191	5	Compare setup step; scheduler-matrix detail; Cross-family duplicate; 155 untagged, 5/5 -> widen silo pattern
SCHED-compare-sync	Compare sync actions	no	child-of	GOV-collection-sync	GOV-collection-sync	63		56	4	Sync actions from compare results; Cross-family duplicate; widen silo GOV-collection-sync (catches 16%)
SCHED-concurrent	Concurrent execution	no	child-of	SCHED-exec-config	SCHED-exec-config	141		6		One field of execution config; distinct source evidence; Concurrency is one field of SCHED-exec-config
SCHED-cron	Cron expression	yes	same definition	SCHED-cron	SCHED-cron	12				names/descriptions match (silo text is a shortened form where different)
SCHED-email	Email provider config	no	child-of	SCHED-notifications	SCHED-notifications	0		66	1	"Provider-level detail of notifications; Own matrix row: ""same evidence as SCHED-notifications"""
SCHED-exec-config	Execution config	yes	same definition	SCHED-exec-config	SCHED-exec-config	141				names/descriptions match (silo text is a shortened form where different)
SCHED-history	Execution history	yes	feed-upstream		SCHED-history	111	added to silo	83	6	Execution history/logs; not covered by SCHED-status-states/progress (10%); 40 distinct, 6/8, vendor docs (DBeaver, VisuaLeaf)
SCHED-history-retention	History retention	no	analysis-only					45	1	Hits are mostly query-history retention, not scheduler
SCHED-notifications	Notifications	yes	same definition	SCHED-notifications	SCHED-notifications	0				names/descriptions match (silo text is a shortened form where different)
SCHED-plan-limits	Scheduler plan limits	no	analysis-only					24	5	5/5 but all DBeaver edition banners; single-vendor
SCHED-preset-types	Preset schedule types	no	retire (synonym)	SCHED-types-time	SCHED-types-time	76		302		Identical definition to SCHED-types-time
SCHED-progress	Progress monitoring	yes	same definition	SCHED-progress	SCHED-progress	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SCHED-recur-daily	Recurrence daily	no	child-of	SCHED-types-time	SCHED-types-time	76		126	1	One recurrence value; matrix keeps per-value evidence; Sub-value of SCHED-types-time; probe ~1/6 precise
SCHED-recur-interval	Recurrence interval	no	child-of	SCHED-types-time	SCHED-types-time	76		27	0	One recurrence value; matrix keeps per-value evidence; Sub-value; probe 0/5 precise
SCHED-recur-monthly	Recurrence monthly	no	child-of	SCHED-types-time	SCHED-types-time	76		139		One recurrence value; matrix keeps per-value evidence; Sub-value of SCHED-types-time
SCHED-recur-once	Recurrence once	no	child-of	SCHED-types-time	SCHED-types-time	76		23		One recurrence value; matrix keeps per-value evidence; Sub-value of SCHED-types-time
SCHED-recur-weekly	Recurrence weekly	no	child-of	SCHED-types-time	SCHED-types-time	76		75	2	One recurrence value; matrix keeps per-value evidence; Sub-value; probe 2/5 precise
SCHED-retry	Retry policy	no	child-of	SCHED-exec-config	SCHED-exec-config	141		12		One field of execution config; distinct source evidence; Retry is one field of SCHED-exec-config
SCHED-script-tasks	Script task units	no	child-of	SCHED-task-types	SCHED-task-types	31		17		One task type with its own unit structure; Script is one of SCHED-task-types; 71% covered
SCHED-status-states	Task status states	yes	same definition	SCHED-status-states	SCHED-status-states	41				names/descriptions match (silo text is a shortened form where different)
SCHED-task-actions	Task management actions	no	retire (synonym)	SCHED-actions	SCHED-actions	18		18	5	"Own matrix row literally says ""Alias of SCHED-actions"""
SCHED-task-save	Task save from tools	no	retire (synonym)	TRANSFER-task-save	TRANSFER-task-save	69		76	8	Same meaning as silo TRANSFER-task-save (cross-family); widen it - catches 5%, 39 distinct uncaught, 8/8
SCHED-task-types	Task types	yes	same definition	SCHED-task-types	SCHED-task-types	31				names/descriptions match (silo text is a shortened form where different)
SCHED-timezone	Timezone support	yes	same definition	SCHED-timezone	SCHED-timezone	5				names/descriptions match (silo text is a shortened form where different)
SCHED-types-time	Time-based schedules	yes	same definition	SCHED-types-time	SCHED-types-time	76	widened			pattern narrower than definition; new pattern sampled >= 6/8
SCHEMA-anomaly-detection	Field anomaly detection	yes	same definition	SCHEMA-anomaly-detection	SCHEMA-anomaly-detection	2				names/descriptions match (silo text is a shortened form where different)
SCHEMA-bson-types	BSON type coverage	yes	same definition	SCHEMA-bson-types	SCHEMA-bson-types	735				names/descriptions match (silo text is a shortened form where different)
SCHEMA-date-dist	Date distribution	yes	same definition	SCHEMA-date-dist	SCHEMA-date-dist	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SCHEMA-deploy-validator	Deploy validator	yes	same definition	SCHEMA-deploy-validator	SCHEMA-deploy-validator	7	widened			pattern narrower than definition; new pattern sampled >= 6/8
SCHEMA-designer-auto	Auto-generate diagram	yes	same definition	SCHEMA-designer-auto	SCHEMA-designer-auto	2				names/descriptions match (silo text is a shortened form where different)
SCHEMA-designer-canvas	Visual canvas	yes	same definition	SCHEMA-designer-canvas	SCHEMA-designer-canvas	123				names/descriptions match (silo text is a shortened form where different)
SCHEMA-designer-color	Color coding	yes	same definition	SCHEMA-designer-color	SCHEMA-designer-color	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SCHEMA-designer-layouts	Named layouts	yes	same definition	SCHEMA-designer-layouts	SCHEMA-designer-layouts	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SCHEMA-designer-links	Relationship detection	yes	same definition	SCHEMA-designer-links	SCHEMA-designer-links	5				names/descriptions match (silo text is a shortened form where different)
SCHEMA-designer-portability	Diagram portability	yes	same definition	SCHEMA-designer-portability	SCHEMA-designer-portability	37				names/descriptions match (silo text is a shortened form where different)
SCHEMA-doc-export	Documentation export	yes	same definition	SCHEMA-doc-export	SCHEMA-doc-export	3				names/descriptions match (silo text is a shortened form where different)
SCHEMA-explore-docs	Explore from field	yes	same definition	SCHEMA-explore-docs	SCHEMA-explore-docs	4	widened			pattern narrower than definition; new pattern sampled >= 6/8
SCHEMA-field-constraints	Field constraints	yes	same definition	SCHEMA-field-constraints	SCHEMA-field-constraints	139				names/descriptions match (silo text is a shortened form where different)
SCHEMA-field-prob	Field probability	yes	same definition	SCHEMA-field-prob	SCHEMA-field-prob	4				names/descriptions match (silo text is a shortened form where different)
SCHEMA-file-export	Schema file export	yes	same definition	SCHEMA-file-export	SCHEMA-file-export	1				names/descriptions match (silo text is a shortened form where different)
SCHEMA-geo-analysis	Geo schema analysis	yes	same definition	SCHEMA-geo-analysis	SCHEMA-geo-analysis	6				names/descriptions match (silo text is a shortened form where different)
SCHEMA-histogram	Value histogram	yes	same definition	SCHEMA-histogram	SCHEMA-histogram	6				names/descriptions match (silo text is a shortened form where different)
SCHEMA-import-from-db	Import from database	yes	same definition	SCHEMA-import-from-db	SCHEMA-import-from-db	0				names/descriptions match (silo text is a shortened form where different)
SCHEMA-json-editor	JSON schema editor	yes	same definition	SCHEMA-json-editor	SCHEMA-json-editor	0				names/descriptions match (silo text is a shortened form where different)
SCHEMA-rename-discover	Rename from discovery	yes	same definition	SCHEMA-rename-discover	SCHEMA-rename-discover	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SCHEMA-sampling	Sampling config	yes	same definition	SCHEMA-sampling	SCHEMA-sampling	137				names/descriptions match (silo text is a shortened form where different)
SCHEMA-stats-notes	Statistics & notes	yes	same definition	SCHEMA-stats-notes	SCHEMA-stats-notes	2				names/descriptions match (silo text is a shortened form where different)
SCHEMA-top-values	Top values chart	yes	same definition	SCHEMA-top-values	SCHEMA-top-values	7				names/descriptions match (silo text is a shortened form where different)
SCHEMA-type-prob	Type probabilities	yes	same definition	SCHEMA-type-prob	SCHEMA-type-prob	10				names/descriptions match (silo text is a shortened form where different)
SCHEMA-validation-limits	Validation limits	yes	same definition	SCHEMA-validation-limits	SCHEMA-validation-limits	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SCHEMA-validation-model	Validation rule model	yes	same definition	SCHEMA-validation-model	SCHEMA-validation-model	54	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
SCHEMA-validation-strictness	Validation strictness	yes	same definition	SCHEMA-validation-strictness	SCHEMA-validation-strictness	18				names/descriptions match (silo text is a shortened form where different)
SCHEMA-validation-ui	Validation UI workflows	yes	same definition	SCHEMA-validation-ui	SCHEMA-validation-ui	14	widened			pattern narrower than definition; new pattern sampled >= 6/8
SCHEMA-verify	Schema verification	yes	same definition	SCHEMA-verify	SCHEMA-verify	4				names/descriptions match (silo text is a shortened form where different)
SCHEMA-view-editor	View editor	yes	same definition	SCHEMA-view-editor	SCHEMA-view-editor	10				names/descriptions match (silo text is a shortened form where different)
SCHEMA-view-from-sql	View from SQL	yes	same definition	SCHEMA-view-from-sql	SCHEMA-view-from-sql	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SCHEMA-views-tree	Views in tree	yes	same definition	SCHEMA-views-tree	SCHEMA-views-tree	1				names/descriptions match (silo text is a shortened form where different)
SHELL-auto-reconnect	Auto reconnect	no	retire (synonym)	SHELL-reconnect	SHELL-reconnect	11		11		Same definition
SHELL-autocomplete	Auto-complete	yes	same definition	SHELL-autocomplete	SHELL-autocomplete	166				names/descriptions match (silo text is a shortened form where different)
SHELL-background	Background execution	yes	same definition	SHELL-background	SHELL-background	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-background-exec	Background execution	no	retire (synonym)	SHELL-background	SHELL-background	0		45	0	Word-for-word same description as SHELL-background
SHELL-bookmarks	Script bookmarks	yes	same definition	SHELL-bookmarks	SHELL-bookmarks	1				names/descriptions match (silo text is a shortened form where different)
SHELL-debugger	Interactive script debugger	yes	same definition	SHELL-debugger	SHELL-debugger	33				names/descriptions match (silo text is a shortened form where different)
SHELL-destructive-guard	Destructive command detection & warning	yes	same definition	SHELL-destructive-guard	SHELL-destructive-guard	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-engine	Shell engine	yes	same definition	SHELL-engine	SHELL-engine	410				names/descriptions match (silo text is a shortened form where different)
SHELL-history	Script history	yes	same definition	SHELL-history	SHELL-history	14				names/descriptions match (silo text is a shortened form where different)
SHELL-integrations	Tool integrations	yes	same definition	SHELL-integrations	SHELL-integrations	15	widened			pattern narrower than definition; new pattern sampled >= 6/8
SHELL-minimap	Minimap	yes	same definition	SHELL-minimap	SHELL-minimap	1				names/descriptions match (silo text is a shortened form where different)
SHELL-modes	Execution modes	yes	same definition	SHELL-modes	SHELL-modes	7				names/descriptions match (silo text is a shortened form where different)
SHELL-npm-utils	Bundled utility libraries	yes	same definition	SHELL-npm-utils	SHELL-npm-utils	21	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
SHELL-oidc-auth	OIDC authentication for shell connections	yes	same definition	SHELL-oidc-auth	SHELL-oidc-auth	15	widened			pattern narrower than definition; new pattern sampled >= 6/8
SHELL-open-from	Open in shell from tools	no	retire (synonym)	SHELL-integrations	SHELL-integrations	15		14		"Covered by SHELL-integrations (""open from other tools"")"
SHELL-persistent-vars	Persistent variables	no	retire (synonym)	SHELL-sessions-vars	SHELL-sessions-vars	0		2		Same definition
SHELL-reconnect	Auto-reconnect	yes	same definition	SHELL-reconnect	SHELL-reconnect	11	widened			pattern narrower than definition; new pattern sampled >= 6/8
SHELL-result-tab-limit	Result tab count limit	yes	same definition	SHELL-result-tab-limit	SHELL-result-tab-limit	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-result-tabs	Result tabs	yes	same definition	SHELL-result-tabs	SHELL-result-tabs	2				names/descriptions match (silo text is a shortened form where different)
SHELL-result-views	Result view modes	yes	same definition	SHELL-result-views	SHELL-result-views	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-run-all	Run all	yes	same definition	SHELL-run-all	SHELL-run-all	4				names/descriptions match (silo text is a shortened form where different)
SHELL-run-cursor	Run to cursor	yes	same definition	SHELL-run-cursor	SHELL-run-cursor	11	widened			pattern narrower than definition; new pattern sampled >= 6/8
SHELL-run-select	Run selected	yes	same definition	SHELL-run-select	SHELL-run-select	16				names/descriptions match (silo text is a shortened form where different)
SHELL-save-load	Save & load scripts	yes	same definition	SHELL-save-load	SHELL-save-load	3				names/descriptions match (silo text is a shortened form where different)
SHELL-sessions	Shell sessions	no	retire (synonym)	SHELL-sessions-multi	SHELL-sessions-multi	10		43	1	Same definition
SHELL-sessions-multi	Multiple sessions	yes	same definition	SHELL-sessions-multi	SHELL-sessions-multi	10				names/descriptions match (silo text is a shortened form where different)
SHELL-sessions-vars	Session variable scope	yes	same definition	SHELL-sessions-vars	SHELL-sessions-vars	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-storedjs-rename	Stored JS rename	yes	same definition	SHELL-storedjs-rename	SHELL-storedjs-rename	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SHELL-validation	Syntax validation	yes	same definition	SHELL-validation	SHELL-validation	1				names/descriptions match (silo text is a shortened form where different)
SQL-code-gen	Code generation	yes	same definition	SQL-code-gen	SQL-code-gen	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SQL-export-field-map	SQL export field mapping	yes	same definition	SQL-export-field-map	SQL-export-field-map	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SQL-export-monitor	SQL export monitoring	no	analysis-only					30	1	"Probe finds ""export to SQL"", not monitoring; definition not doc-detectable"
SQL-export-relations	SQL export relations	yes	same definition	SQL-export-relations	SQL-export-relations	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SQL-export-targets	SQL export targets	yes	same definition	SQL-export-targets	SQL-export-targets	1				names/descriptions match (silo text is a shortened form where different)
SQL-expressions	SQL expressions	yes	same definition	SQL-expressions	SQL-expressions	621				names/descriptions match (silo text is a shortened form where different)
SQL-federated-query	Federated cross-database query	yes	same definition	SQL-federated-query	SQL-federated-query	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SQL-join-mapping	JOIN mapping	yes	same definition	SQL-join-mapping	SQL-join-mapping	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
SQL-migration	SQL migration wizard	yes	same definition	SQL-migration	SQL-migration	67	widened			"pattern narrower than definition; added ""SQL migration"" (the ""SQL to MongoDB"" alternative was dropped at acceptance: 5/8)"
SQL-migration-1to-many	SQL one-to-many mapping	no	child-of	SQL-migration	SQL-migration	67		26	3	Mapping mode inside the migration wizard; Detail of SQL-migration wizard; 13 distinct uncaught, precision 3/5 (ER-diagram noise)
SQL-migration-1to1	SQL one-to-one mapping	no	child-of	SQL-migration	SQL-migration	67		17	3	Mapping mode inside the migration wizard; Detail of SQL-migration wizard; 6 distinct uncaught
SQL-migration-schema	SQL migration schema mapping	no	child-of	SQL-migration	SQL-migration	67		115	7	Schema-mapping stage of the migration wizard; Same meaning as SQL-migration; widen pattern (catches 29%; 59 distinct uncaught, 7/8)
SQL-query-manager	SQL query manager	yes	same definition	SQL-query-manager	SQL-query-manager	3				names/descriptions match (silo text is a shortened form where different)
SQL-reschema	Schema restructuring	yes	same definition	SQL-reschema	SQL-reschema	6				names/descriptions match (silo text is a shortened form where different)
TRANSFER-collection-history	Collection History	yes	same definition	TRANSFER-collection-history	TRANSFER-collection-history	97				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-bson	Export BSON	yes	same definition	TRANSFER-export-bson	TRANSFER-export-bson	29	widened			pattern narrower than definition; new pattern sampled >= 6/8
TRANSFER-export-csv	Export CSV	yes	same definition	TRANSFER-export-csv	TRANSFER-export-csv	29				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-excel	Export Excel	yes	same definition	TRANSFER-export-excel	TRANSFER-export-excel	11				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-json	Export JSON	yes	same definition	TRANSFER-export-json	TRANSFER-export-json	17				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-mongo	Export to MongoDB	yes	same definition	TRANSFER-export-mongo	TRANSFER-export-mongo	0				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-sql	Export SQL	yes	same definition	TRANSFER-export-sql	TRANSFER-export-sql	19				names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-sql-stmts	Export SQL INSERT	yes	same definition	TRANSFER-export-sql-stmts	TRANSFER-export-sql-stmts	1	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
TRANSFER-export-src	Export source selection	yes	same definition	TRANSFER-export-src	TRANSFER-export-src	57				names/descriptions match (silo text is a shortened form where different)
TRANSFER-field-mapping	Field mapping	yes	same definition	TRANSFER-field-mapping	TRANSFER-field-mapping	78				names/descriptions match (silo text is a shortened form where different)
TRANSFER-gridfs-crud	GridFS file CRUD	yes	same definition	TRANSFER-gridfs-crud	TRANSFER-gridfs-crud	22				names/descriptions match (silo text is a shortened form where different)
TRANSFER-import-bson	Import BSON	yes	same definition	TRANSFER-import-bson	TRANSFER-import-bson	89				names/descriptions match (silo text is a shortened form where different)
TRANSFER-import-csv	Import CSV	yes	same definition	TRANSFER-import-csv	TRANSFER-import-csv	40				names/descriptions match (silo text is a shortened form where different)
TRANSFER-import-json	Import JSON	yes	same definition	TRANSFER-import-json	TRANSFER-import-json	56				names/descriptions match (silo text is a shortened form where different)
TRANSFER-import-modes	Insertion modes	yes	same definition	TRANSFER-import-modes	TRANSFER-import-modes	16				names/descriptions match (silo text is a shortened form where different)
TRANSFER-import-mongo	Import from MongoDB	yes	same definition	TRANSFER-import-mongo	TRANSFER-import-mongo	2				names/descriptions match (silo text is a shortened form where different)
TRANSFER-import-sql	Import from SQL	yes	same definition	TRANSFER-import-sql	TRANSFER-import-sql	3				names/descriptions match (silo text is a shortened form where different)
TRANSFER-incremental	Incremental export	yes	same definition	TRANSFER-incremental	TRANSFER-incremental	7				names/descriptions match (silo text is a shortened form where different)
TRANSFER-masking-inline	Inline masking	yes	same definition	TRANSFER-masking-inline	TRANSFER-masking-inline	6				names/descriptions match (silo text is a shortened form where different)
TRANSFER-masking-tool	Data masking tool	yes	same definition	TRANSFER-masking-tool	TRANSFER-masking-tool	13				names/descriptions match (silo text is a shortened form where different)
TRANSFER-masking-types	Masking techniques	yes	same definition	TRANSFER-masking-types	TRANSFER-masking-types	17				names/descriptions match (silo text is a shortened form where different)
TRANSFER-plan-limits	Transfer task plan limits	no	analysis-only					13	1	Probe 1/5; single-vendor
TRANSFER-task-save	Save as task	yes	same definition	TRANSFER-task-save	TRANSFER-task-save	69	widened			pattern narrower than definition; new pattern sampled >= 6/8
TRANSFER-test-data-gen	Synthetic test data generator	yes	same definition	TRANSFER-test-data-gen	TRANSFER-test-data-gen	55				names/descriptions match (silo text is a shortened form where different)
TRANSFER-transform-filter	Import filter	yes	same definition	TRANSFER-transform-filter	TRANSFER-transform-filter	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
TRANSFER-transform-js	Custom JS transform	yes	same definition	TRANSFER-transform-js	TRANSFER-transform-js	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
TRANSFER-transform-pipeline	Pipeline pre-export	yes	same definition	TRANSFER-transform-pipeline	TRANSFER-transform-pipeline	5	widened			pattern narrower than definition; new pattern sampled >= 6/8
TRANSFER-transform-types	Type conversion	yes	same definition	TRANSFER-transform-types	TRANSFER-transform-types	1				names/descriptions match (silo text is a shortened form where different)
